LFM;7;13;17;7;2;0;0;0;0;0;;
FM;0;0;0;0;0;0;0;0;0;0;;
PSK;0;0;2;0;1;0;0;0;0;0;;
NM;93;87;81;93;97;100;100;100;100;100;;
LFM;0;0;0;0;0;0;0;0;0;0;;
FM;0;0;0;0;0;0;0;0;0;0;;
PSK;4;0;0;0;0;0;0;0;0;0;;
NM;96;100;100;100;100;100;100;100;100;100;;
LFM;1;1;0;0;1;0;0;0;0;0;;
FM;0;0;0;0;0;0;0;0;0;0;;
PSK;6;0;0;0;0;0;0;0;0;0;;
NM;93;99;100;100;99;100;100;100;100;100;;
LFM;1;0;0;0;0;0;0;0;0;0;;
FM;0;0;0;0;0;0;0;0;0;0;;
PSK;12;1;0;0;0;0;0;0;0;0;;
NM;87;99;100;100;100;100;100;100;100;100;;
LFM;4;2;0;1;1;1;0;1;0;0;;
FM;0;0;0;0;0;0;0;0;0;0;;
PSK;27;3;0;0;0;0;0;0;0;0;;
NM;69;95;100;99;99;99;100;99;100;100;;
LFM;12;1;0;1;2;1;0;1;1;0;;
FM;0;0;0;0;0;0;0;0;0;0;;
PSK;49;11;0;0;0;0;0;0;0;0;;
NM;39;88;100;99;98;99;100;99;99;100;;
LFM;11;2;4;0;1;0;0;0;0;0;;
FM;0;0;0;0;0;0;0;0;0;0;;
PSK;82;31;0;0;0;0;0;0;0;0;;
NM;7;67;96;100;99;100;100;100;100;100;;
;;;;;;;;;;;;
LFM ;36;19;21;9;7;2;0;2;1;0;;
FM ;0;0;0;0;0;0;0;0;0;0;;
PSK ;180;46;2;0;1;0;0;0;0;0;;
NM ;484;635;677;691;692;698;700;698;699;700;;
;0,691428571428571;0,907142857142857;0,967142857142857;0,987142857142857;0,988571428571429;0,997142857142857;1;0,997142857142857;0,998571428571429;1;;
