LFM;0;0;0;0;0;0;0;0;0;0;
FM;73;60;60;68;66;72;66;69;72;65;
PSK;27;40;40;32;34;28;34;31;28;35;
NM;0;0;0;0;0;0;0;0;0;0;
LFM;0;0;0;0;0;0;0;0;0;0;
FM;89;79;76;83;79;85;83;80;75;83;
PSK;11;21;24;17;21;15;17;20;25;17;
NM;0;0;0;0;0;0;0;0;0;0;
LFM;2;0;0;0;0;0;0;0;0;0;
FM;86;80;65;63;65;71;76;63;71;71;
PSK;12;20;35;37;35;29;24;37;29;29;
NM;0;0;0;0;0;0;0;0;0;0;
LFM;12;7;0;0;0;0;0;0;0;0;
FM;80;91;98;99;100;98;100;99;100;99;
PSK;8;2;2;1;0;2;0;1;0;1;
NM;0;0;0;0;0;0;0;0;0;0;
LFM;69;8;0;0;0;0;0;0;0;0;
FM;15;88;100;100;100;98;100;100;100;99;
PSK;9;4;0;0;0;2;0;0;0;1;
NM;7;0;0;0;0;0;0;0;0;0;
LFM;78;18;0;0;0;0;0;0;0;0;
FM;2;80;100;100;100;100;100;100;100;100;
PSK;8;0;0;0;0;0;0;0;0;0;
NM;12;2;0;0;0;0;0;0;0;0;
;;;;;;;;;;;
LFM;161;33;0;0;0;0;0;0;0;0;
FM;345;478;499;513;510;524;525;511;518;517;
PSK;75;87;101;87;90;76;75;89;82;83;
NM;19;2;0;0;0;0;0;0;0;0;
;0,575;0,796666666666667;0,831666666666667;0,855;0,85;0,873333333333333;0,875;0,851666666666667;0,863333333333333;0,861666666666667;
