LFM;21;83;85;93;97;96;98;97;99;99;
FM;0;2;6;3;2;4;2;3;1;1;
PSK;3;6;8;4;1;0;0;0;0;0;
NM;76;9;1;0;0;0;0;0;0;0;
LFM;33;89;93;97;96;97;98;96;99;99;
FM;1;1;4;2;3;2;2;4;1;1;
PSK;1;5;3;1;1;1;0;0;0;0;
NM;65;5;0;0;0;0;0;0;0;0;
LFM;5;55;95;97;97;100;95;83;25;34;
FM;0;0;0;2;2;0;5;17;75;66;
PSK;0;2;4;1;1;0;0;0;0;0;
NM;95;43;1;0;0;0;0;0;0;0;
LFM;18;68;85;91;96;100;98;99;98;96;
FM;1;3;3;2;1;0;2;1;2;4;
PSK;4;18;12;7;3;0;0;0;0;0;
NM;77;11;0;0;0;0;0;0;0;0;
LFM;27;81;92;96;94;96;99;98;97;97;
FM;0;3;6;1;3;4;0;2;3;3;
PSK;4;2;2;3;3;0;1;0;0;0;
NM;69;14;0;0;0;0;0;0;0;0;
LFM;18;86;67;52;26;0;0;0;0;;0;
FM;0;1;24;46;73;99;100;100;100;;100;
PSK;2;4;9;2;1;1;0;0;0;;0;
NM;80;9;0;0;0;0;0;0;0;;0;
LFM;14;72;89;90;96;94;98;97;94;96;;
FM;1;10;7;9;4;6;2;3;6;4;;
PSK;1;0;4;1;0;0;0;0;0;0;;
NM;84;18;0;0;0;0;0;0;0;0;;
LFM;21;72;79;95;96;99;97;97;97;97;;
FM;5;19;19;5;4;1;3;3;3;3;;
PSK;0;0;0;0;0;0;0;0;0;0;;
NM;74;9;2;0;0;0;0;0;0;0;;
LFM;0;0;0;0;0;0;0;0;0;0;;
FM;28;81;99;100;99;100;100;100;100;100;;
PSK;7;10;1;0;1;0;0;0;0;0;;
NM;65;9;0;0;0;0;0;0;0;0;;
LFM;100;100;100;100;100;100;100;100;100;100;;
FM;0;0;0;0;0;0;0;0;0;0;;
PSK;0;0;0;0;0;0;0;0;0;0;;
NM;0;0;0;0;0;0;0;0;0;0;;
LFM;100;100;100;100;100;100;100;100;100;100;;
FM;0;0;0;0;0;0;0;0;0;0;;
PSK;0;0;0;0;0;0;0;0;0;0;;
NM;0;0;0;0;0;0;0;0;0;0;;
LFM;98;100;100;100;100;100;100;100;100;100;;
FM;0;0;0;0;0;0;0;0;0;0;;
PSK;1;0;0;0;0;0;0;0;0;0;;
NM;1;0;0;0;0;0;0;0;0;0;;
LFM;98;100;100;100;100;100;100;100;100;100;;
FM;0;0;0;0;0;0;1;99;100;100;;
PSK;9;0;0;0;0;0;0;0;0;0;;
NM;11;0;0;0;0;0;0;0;0;0;;
LFM;100;100;100;100;100;100;100;100;100;100;;
FM;0;0;0;0;0;0;0;0;0;0;;
PSK;0;0;0;0;0;0;0;0;0;0;;
NM;0;0;0;0;0;0;0;0;0;0;;
LFM;100;100;100;100;100;100;100;100;100;100;
FM;0;0;0;0;0;0;0;0;0;0;
PSK;0;0;0;0;0;0;0;0;0;0;
NM;0;0;0;0;0;0;0;0;0;0;
LFM;96;100;100;100;100;100;100;49;0;0;
FM;0;0;0;0;0;0;0;51;100;100;
PSK;4;0;0;0;0;0;0;0;0;0;
NM;0;0;0;0;0;0;0;0;0;0;
LFM;98;100;0;0;0;0;0;0;0;0;
FM;0;0;100;100;100;100;100;100;100;100;
PSK;2;0;0;0;0;0;0;0;0;0;
NM;0;0;0;0;0;0;0;0;0;0;
LFM;97;86;99;;100;;100;;100;;100;;100;;100;;99;;;
FM;3;10;1;;0;;0;;0;;0;;0;;0;;1;;;
PSK;0;4;0;;0;;0;;0;;0;;0;;0;;0;;;
NM;0;0;0;;0;;0;;0;;0;;0;;0;;0;;;
LFM;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;
FM;71;100;;100;;100;;100;;100;;100;;100;;100;;100;;
PSK;29;0;;0;;0;;0;;0;;0;;0;;0;;0;;
NM;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;
